Season,Date,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,HAttack,HMidfield,HDefense,HOverall,AAttack,AMidfield,ADefense,AOverall,Wk,AwayTeam,HomeTeam,AwayGame,HomeGame,HForm,AForm,HTGC,ATGC,HTGS,ATGS,HSt,ASt,HGKPP,AGKPP,HHTGKPP,AHTGKPP,HSTKPP,ASTKPP,HSKPP,ASKPP,HYKKP,AYKKP,HRKKP,ARKKP,HCKPP,ACKPP,HFKKP,AFKKP,HTGD,ATGD,FormDif,StDif,GKPP,HTGKPP,STKPP,SKPP,YKKP,RKKP,CKPP,FKKP,AttackDiff,MidfieldDiff,DefenseDiff,OverallDiff,GoalDiff
PL_04_05,2004-08-21,0,1,A,0,0,D,M Dean,13,15,6,8,10,12,13,3,1,2,0,0,1.66,3.4,5.5,85,83,76,81,81,76,75,77,2,Tottenham,Newcastle,2,2,1.0,1.0,2,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,7,1,4,0
PL_04_05,2004-08-21,1,3,A,1,1,D,M Clattenburg,15,14,9,7,6,18,6,6,1,1,0,1,2.3,3.25,3.0,69,68,72,69,72,75,74,75,2,Everton,Crystal Palace,2,2,1.0,0.6699999999999999,1,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3,0.33000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,-7,-2,-6,3
PL_04_05,2004-08-21,2,0,H,1,0,H,R Styles,23,10,12,4,11,13,8,4,0,0,0,0,2.25,3.2,3.1,78,76,77,78,74,79,73,76,2,Bolton,Fulham,2,2,1.0,1.33,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,-0.33000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,-3,4,2,-3
PL_04_05,2004-08-21,2,1,H,0,1,A,G Poll,15,7,10,4,9,17,8,3,1,3,0,1,1.57,3.5,6.5,88,86,82,84,81,76,74,77,2,Man City,Liverpool,2,2,1.0,1.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,10,8,7,0
PL_04_05,2004-08-21,2,1,H,1,0,H,A Wiley,18,10,14,6,9,11,5,6,0,1,0,0,2.0,3.2,3.75,76,79,75,77,78,73,75,75,2,Portsmouth,Charlton,2,2,0.6699999999999999,1.0,4,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,0,-0.33000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,6,0,2,-3
PL_04_05,2004-08-21,2,1,H,1,0,H,N Barry,17,7,7,2,8,23,11,5,0,1,0,0,1.25,5.0,13.0,91,90,85,88,74,72,73,73,2,Norwich,Man United,2,2,0.6699999999999999,1.0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,-0.33000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,18,12,15,-1
PL_04_05,2004-08-21,3,2,H,1,0,H,A D'Urso,13,10,7,6,12,18,3,6,0,3,0,0,2.3,3.25,3.0,80,72,73,75,72,78,75,76,2,Blackburn,Southampton,2,2,0.6699999999999999,1.0,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0,-0.33000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,-6,-2,-1,-2
PL_04_05,2004-08-22,1,1,D,1,1,D,M Halsey,14,9,5,4,12,20,12,4,2,2,0,0,2.87,3.2,2.4,78,72,71,73,79,74,77,77,2,Aston Villa,West Brom,2,2,1.0,1.33,1,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,-0.33000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-2,-6,-4,-2
PL_04_05,2004-08-22,5,3,H,1,1,D,S Dunn,16,9,11,5,8,14,7,5,1,1,0,0,1.36,4.33,9.0,92,91,89,90,82,79,79,80,2,Middlesbrough,Arsenal,2,2,1.33,1.0,1,2,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.33000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,12,10,10,3
PL_04_05,2004-08-24,0,2,A,0,1,A,C Foy,7,16,4,10,9,12,1,6,1,1,0,0,8.5,3.75,1.44,69,68,72,69,87,88,86,87,3,Chelsea,Crystal Palace,3,3,0.6699999999999999,1.5511000000000001,4,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,2,-0.8811000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18,-20,-14,-18,-4
